milliseconds, deg_Centigrade, pascals, meters
164,27,101560,0
757,27,101564,0
1350,27,101566,0
1944,27,101569,0
2537,27,101569,0
3131,27,101569,0
3725,27,101564,0
4319,27,101565,0
4913,27,101563,0
5507,27,101567,0
6100,27,101568,0
6693,27,101566,0
7287,27,101565,0
7881,27,101568,0
8475,27,101565,0
9069,27,101563,0
9663,27,101567,0
10257,27,101563,0
10852,27,101567,0
11446,27,101569,0
12041,27,101569,0
12636,27,101563,0
